tid,chembl_id
11132,CHEMBL3579
11134,CHEMBL3687
11136,CHEMBL2797
11138,CHEMBL3414
11140,CHEMBL284
11141,CHEMBL4773
11142,CHEMBL4720
11143,CHEMBL3134
11144,CHEMBL4929
11145,CHEMBL4307
11146,CHEMBL4930
11147,CHEMBL4557
11149,CHEMBL2973
11150,CHEMBL2558
11152,CHEMBL3171
11153,CHEMBL1964
11154,CHEMBL3869
11156,CHEMBL4308
11158,CHEMBL4138
11159,CHEMBL3172
11160,CHEMBL2635
11162,CHEMBL2406
11163,CHEMBL4958
11165,CHEMBL4931
11168,CHEMBL4959
11169,CHEMBL3596
11170,CHEMBL4932
11171,CHEMBL4933
11172,CHEMBL3174
11173,CHEMBL2535
11174,CHEMBL3129
11176,CHEMBL4619
11177,CHEMBL3130
11179,CHEMBL4136
11180,CHEMBL2047
11181,CHEMBL2048
11184,CHEMBL3068
11185,CHEMBL3184
11186,CHEMBL2408
11187,CHEMBL3978
11188,CHEMBL3849
11189,CHEMBL3102
11191,CHEMBL2472
11192,CHEMBL4791
11195,CHEMBL1943
11196,CHEMBL4934
11199,CHEMBL2407
11200,CHEMBL3888
11201,CHEMBL4000
11202,CHEMBL4464
11203,CHEMBL285
11204,CHEMBL4465
11205,CHEMBL4001
11206,CHEMBL1937
11208,CHEMBL1829
11209,CHEMBL4014
11212,CHEMBL4239
11213,CHEMBL3880
11214,CHEMBL3590
11215,CHEMBL4240
11218,CHEMBL3591
11220,CHEMBL2614
11221,CHEMBL4016
11223,CHEMBL3684
11225,CHEMBL286
11226,CHEMBL2615
11227,CHEMBL2766
11228,CHEMBL2767
11229,CHEMBL4241
11230,CHEMBL3592
11231,CHEMBL3593
11232,CHEMBL3524
11234,CHEMBL2768
11235,CHEMBL2878
11236,CHEMBL4242
11237,CHEMBL3525
11238,CHEMBL4243
11239,CHEMBL2693
11241,CHEMBL4244
11242,CHEMBL2695
11243,CHEMBL3526
11249,CHEMBL2696
11250,CHEMBL3741
11251,CHEMBL4559
11254,CHEMBL3751
11255,CHEMBL4245
11256,CHEMBL2771
11257,CHEMBL1954
11258,CHEMBL3527
11259,CHEMBL2806
11260,CHEMBL4652
11261,CHEMBL2028
11262,CHEMBL2238
11263,CHEMBL3340
11265,CHEMBL1792
11267,CHEMBL3559
11269,CHEMBL2808
11271,CHEMBL2239
11272,CHEMBL287
11274,CHEMBL3903
11275,CHEMBL3560
11277,CHEMBL2867
11279,CHEMBL3772
11280,CHEMBL3227
11281,CHEMBL3228
11282,CHEMBL2241
11283,CHEMBL2242
11285,CHEMBL2819
11286,CHEMBL4631
11287,CHEMBL2820
11288,CHEMBL2821
11289,CHEMBL3229
11290,CHEMBL3759
11291,CHEMBL2243
11292,CHEMBL2244
11293,CHEMBL3411
11294,CHEMBL3531
11295,CHEMBL3573
11296,CHEMBL4701
11297,CHEMBL2245
11298,CHEMBL4654
11299,CHEMBL3263
11300,CHEMBL4124
11302,CHEMBL3574
11303,CHEMBL2541
11307,CHEMBL1865
11308,CHEMBL2246
11309,CHEMBL3838
11313,CHEMBL2247
11316,CHEMBL2544
11318,CHEMBL2248
11320,CHEMBL3815
11321,CHEMBL2546
11324,CHEMBL3873
11325,CHEMBL2189
11326,CHEMBL4002
11327,CHEMBL2190
11328,CHEMBL2823
11329,CHEMBL3839
11330,CHEMBL2824
11335,CHEMBL3876
11336,CHEMBL4561
11337,CHEMBL2826
11343,CHEMBL4133
11344,CHEMBL2703
11346,CHEMBL4033
11352,CHEMBL2686
11353,CHEMBL3575
11354,CHEMBL2612
11356,CHEMBL2140
11357,CHEMBL4003
11359,CHEMBL288
